Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM5190357v1	GCA_051903575.1		Liquidambar gracilipes					FX4			Chromosome	2025-08-08	JBPVWG01	115
fHelDac2.1	GCA_981148845.1		Helicolenus dactylopterus								Chromosome	2026-02-28	CEOXCU01	211
ilHedNubi2.1	GCA_977014005.1		Hedya nubiferana								Chromosome	2025-11-08	CDRNJW01	98
ilLonElym1.hap1.1	GCA_976921925.1		Longalatedes elymi								Chromosome	2025-10-08	CDRFFE01	54
wsPerRubr1.1	GCA_965742485.1		Perkinsiana rubra								Chromosome	2025-08-23	CBFUKW01	86
ilAclHast2.1	GCA_977902025.1		Acleris hastiana								Chromosome	2026-02-01	CDWNJO01	164
ilLobLitt1.hap1.1	GCA_978021425.1		Lobesia littoralis								Chromosome	2026-01-25	CDXDPP01	40
ihAphMajo1.hap1.1	GCA_965285795.1		Aphrophora major								Chromosome	2025-06-07	CBDIWK01	199
ilAbrGrou1.hap1.1	GCA_976010855.1		Abraxas grossulariata								Chromosome	2025-10-26	CDMALM01	144
ilEpiStic1.hap1.1	GCA_976227255.1		Epiblema sticticana								Chromosome	2025-10-08	CDNGLS01	50
ilMomLocu1.hap1.1	GCA_977013225.1		Mompha locupletella								Chromosome	2025-11-07	CDRNHL01	49
ilArcPart1.hap1.1	GCA_976915725.1		Archiearis parthenias								Chromosome	2025-10-11	CDREHM01	87
ilDicVanc1.hap1.1	GCA_965669695.1		Dichrorampha vancouverana								Chromosome	2025-08-23	CBFJJN01	64
ilEriSpar1.hap1.1	GCA_976918355.1		Eriocrania sparrmannella								Chromosome	2025-10-07	CDRERH01	40
ilSymZett1.hap1.1	GCA_976987505.1		Sympistis zetterstedtii								Chromosome	2025-11-07	CDRKEF01	36
ZJU_Daio_1.0	GCA_036365515.1		Torymus aiolomorphi					F1-2023			Chromosome	2024-02-06	JAXKQO01	21
iiAdiRedu3.1	GCA_978045095.1		Adicella reducta								Chromosome	2026-02-05	CDXHBQ01	40
ilConRubg1.hap1.1	GCA_965663715.1		Conistra rubiginosa								Chromosome	2025-08-23	CBFIML01	77
ASM1980259v1	GCF_019802595.1	GCA_019802595.1	Syngnathoides biaculeatus					LvHL_M	male	GCF_019802595.1-RS_2023_12	Chromosome	2021-09-09	JADLZI01	142
ilPanCoen1.hap1.1	GCA_977012725.1		Panthea coenobita								Chromosome	2025-11-07	CDRNFD01	58
ilSmeOcel2.hap1.1	GCA_965644355.1		Smerinthus ocellatus								Chromosome	2025-07-28	CBFFRV01	38
ilEucOcel1.hap1.1	GCA_976986845.1		Euchromius ocelleus								Chromosome	2025-11-07	CDRKCM01	38
mPipNat.pri	GCA_963693515.1		Pipistrellus nathusii							Annotation submitted by Leibniz Institute for Zoo and Wildlife Research	Chromosome	2024-02-07	CAVNZX01	153
fLabVir1.1	GCA_980909795.1		Labrus viridis								Chromosome	2026-02-25	CENNRT01	76
fLepWhi1.1	GCA_965246675.1		Lepidorhombus whiffiagonis								Chromosome	2025-04-17	CBDFFC01	32
ilSpaPrae1.hap1.1	GCA_974939595.1		Sparganothis praecana								Chromosome	2025-10-10	CDFYFO01	86
ilCelCesp1.hap2.1	GCA_977012545.1		Celypha cespitana								Chromosome	2025-10-31	CDRNEO01	66
ilDiaReti1.hap1.1	GCA_977013365.1		Diasemia reticularis								Chromosome	2025-11-08	CDRNHZ01	115
ilAclEffr1.hap1.1	GCA_966208735.1		Acleris effractana								Chromosome	2025-08-24	CBIHLC01	90
XJAU_Pgr_v1.0	GCA_055048795.1		Phoxinus grumi					TLF-001	female		Chromosome	2026-02-11	JBTNTM01	222
AGOR_1.0	GCA_022829145.1		Albula goreensis				Florida			Annotation submitted by GenoFish	Chromosome	2022-04-08	JAERUA01	471
ilCheMult1.hap1.1	GCA_977013235.1		Chersotis multangula								Chromosome	2025-11-07	CDRNHJ01	35
jaCalPara1.1	GCA_964340385.1		Calliactis parasitica								Chromosome	2024-11-14	CAYEZR01	12
ilSciFume1.hap1.1	GCA_976344595.1		Sciota fumella								Chromosome	2025-10-09	CDNXVD01	69
ilEpiCren1.hap1.1	GCA_976987325.1		Epinotia crenana								Chromosome	2025-11-07	CDRKEH01	41
ASM4095450v1	GCA_040954505.1		Ranatra chinensis					cailab_2021Rc		Annotation submitted by China Agricultural University	Chromosome	2024-08-01	JBFDAA01	151
fZeuReg1.1	GCA_965642325.1		Zeugopterus regius								Chromosome	2025-07-19	CBFFMA01	75
ilAclLorq1.hap1.1	GCA_980249045.1		Acleris lorquiniana								Chromosome	2026-02-20	CEJUBP01	39
ilParPand1.hap1.1	GCA_977063485.1		Paratalanta pandalis								Chromosome	2025-11-20	CDRUHJ01	57
ilAncDimi1.hap1.1	GCA_976225465.1		Ancylis diminutana								Chromosome	2025-10-26	CDNGED01	103
icAplInca1.hap1.1	GCA_978018165.1		Aplotarsus incanus								Chromosome	2026-02-01	CDXDGO01	345
ASM5008398v1	GCA_050083985.1		Aerobryopsis subdivergens					YL6142			Chromosome	2025-05-01	JBNGMS01	122
KIB_Rrac_1	GCA_036346355.1		Rhipidocladum racemiflorum					GZH05			Chromosome	2024-02-02	JAYEVF01	134
ilAcaVire1.1	GCA_965285885.1		Acasis viretata								Chromosome	2025-06-07	CBDIVZ01	34
SynOce1_v1.hap2	GCA_044231645.1		Neosynchiropus ocellatus					captive			Chromosome	2024-11-04	JBGLVI01	129
fAntAnt1.2	GCA_964269795.2		Anthias anthias								Chromosome	2024-11-09	CAXWPT02	65
ASM4423167v1	GCA_044231675.1		Synchiropus picturatus					SynPic1		GCA_044231675.1-GB_2025_09_15	Chromosome	2024-11-04	JBGLVK01	300
ilCoeRufa1.hap1.1	GCA_977012855.1		Coenobia rufa								Chromosome	2025-11-07	CDRNFJ01	68
xbLimCari2.1	GCA_977909015.1		Lima caribaea								Chromosome	2026-02-01	CDWOXJ01	55
cjMasWood2.1	GCA_965642095.1		Mastigophora woodsii								Chromosome	2025-07-19	CBFFLJ01	46
ilAclLips1.hap1.1	GCA_976988735.1		Acleris lipsiana								Chromosome	2025-11-07	CDRKHT01	52
ilArgNori1.hap2.1	GCA_965607555.1		Argyroploce noricana								Chromosome	2025-07-08	CBFDFR01	60
xbDonSemi1.1	GCA_965239255.1		Donax semistriatus								Chromosome	2025-04-10	CBDEHP01	174
ilEupAssi1.hap1.1	GCA_977035785.1		Eupithecia assimilata								Chromosome	2025-11-13	CDRQJM01	38
ilAnaTerr1.hap1.1	GCA_966184285.1		Anania terrealis								Chromosome	2025-08-23	CBIFQP01	65
ilAdsStat1.hap1.1	GCA_976954785.1		Adscita statices								Chromosome	2025-10-08	CDRJUS01	47
ilAnaVerb1.hap1.1	GCA_977012675.1		Anania verbascalis								Chromosome	2025-11-07	CDRNEK01	60
fElaCha1.1	GCA_978163275.1		Elacatinus chancei								Chromosome	2026-03-01	CDXYJC01	143
idOxyPygm2.1	GCA_965211965.1		Oxycera pygmaea								Chromosome	2025-03-17	CBDBUO01	265
ilYezVitt1.hap1.1	GCA_978018145.1		Yezognophos vittaria								Chromosome	2026-01-18	CDXDGM01	39
fOcyChr1.1	GCA_977019275.1		Ocyurus chrysurus								Chromosome	2025-11-08	CDRNZA01	474
ilMomRasc1.hap1.1	GCA_977014305.1		Mompha raschkiella								Chromosome	2025-11-07	CDRNJQ01	52
ihMacMicr1.hap1.1	GCA_965636975.1		Macrodema micropterum								Chromosome	2025-07-09	CBFETO01	285
AngPac_1	GCA_039654925.2		Anguilla bicolor pacifica					HC-2024			Chromosome	2024-06-14	JBDGNX02	29
ilDelUncu1.hap1.1	GCA_977014735.1		Deltote uncula								Chromosome	2025-11-07	CDRNLG01	59
ilCleSene1.hap1.1	GCA_976974225.1		Clepsis senecionana								Chromosome	2025-10-10	CDRJVT01	66
ilPsyCast1.hap1.1	GCA_976929525.1		Psyche casta								Chromosome	2025-10-09	CDRGIZ01	63
ASM5436794v1	GCA_054367945.1		Fontitrygon garouaensis					SO-2025	female		Chromosome	2026-01-06	JBSTRW01	1158
ASM4671865v1	GCA_046718655.1		Chenopodium pamiricum					BYU 2269			Chromosome	2025-01-15	JBGFFQ01	949
ilGraAure1.hap1.1	GCA_974392525.1		Grapholita aureolana								Chromosome	2025-10-07	CDCVHD01	33
ASM5242577v1	GCA_052425775.1		Indonemoura scalprata					N04			Chromosome	2025-09-03	JBMUJJ01	22
ASM4728806v1	GCA_047288065.1		Malus transitoria					HS-2024aa			Chromosome	2025-01-28	JBAMJL01	113
ilPleIdas1.hap2.1	GCA_976231855.1		Plebejus idas								Chromosome	2025-10-04	CDNHCE01	42
ilCedGyss1.hap1.1	GCA_976917565.1		Cedestis gysseleniella								Chromosome	2025-10-08	CDREOV01	46
ilUdeDecr1.hap1.1	GCA_965642495.1		Udea decrepitalis								Chromosome	2025-07-19	CBFFMP01	143
ilWocAspe1.hap1.1	GCA_976954495.1		Wockia asperipunctella								Chromosome	2025-10-08	CDRJTP01	35
ilSpaBifa1.hap1.1	GCA_974392515.1		Spatalistis bifasciana								Chromosome	2025-10-24	CDCVGM01	101
ilAgoAlst3.hap1.1	GCA_975146945.1		Agonopterix alstromeriana								Chromosome	2025-10-14	CDHCVT01	167
ilLobViru1.hap1.1	GCA_976974305.1		Lobesia virulenta								Chromosome	2025-10-08	CDRJVU01	43
urGulNodu1.1	GCA_965246695.1		Gulsonia nodulosa								Chromosome	2025-04-17	CBDFFE01	85
ilPamGerm1.hap1.1	GCA_971855945.1		Pammene germmana								Chromosome	2025-09-13	CCOKCO01	40
ilCydPact1.hap1.1	GCA_976915165.1		Cydia pactolana								Chromosome	2025-10-07	CDREFO01	35
qqScoBlac1.hap1.1	GCA_981259235.1		Scotophaeus blackwalli								Chromosome	2026-02-28	CEPNLM01	208
nxAuaRhod1.1	GCA_964057225.1		Auanema rhodensis								Chromosome	2024-05-19	CAXKVF01	111
ASM4946296v1	GCA_049462965.1		Odontolabis cuvera					JJ-2025a			Chromosome	2025-04-10	JBMUJD01	66
qcLitStyg1.1	GCA_976940485.1		Lithobius stygius								Chromosome	2025-10-05	CDRHXL01	129
ilEupSaty1.hap1.1	GCA_977971785.1		Eupithecia satyrata								Chromosome	2026-01-20	CDWWWX01	60
ilMetLuta1.hap1.1	GCA_977788085.1		Metriotes lutarea								Chromosome	2026-02-01	CDVWYW01	185
ilPseBran1.hap1.1	GCA_976240245.1		Pseudosciaphila branderiana								Chromosome	2025-10-26	CDNIJJ01	215
ilTetOrxx2.1	GCA_977018955.1		Tethea or								Chromosome	2025-11-07	CDRNXW01	34
ASM5008433v1	GCA_050084335.1		Diphyscium fulvifolium					YL6213			Chromosome	2025-05-01	JBNGKS01	41
ASM3842987v2	GCA_038429875.2		Poecile montanus					N2005	female		Chromosome	2025-02-05	JBBLMP02	190
ilRheCerv1.hap1.1	GCA_977072125.1		Rheumaptera cervinalis								Chromosome	2025-12-05	CDRVLP01	137
ilEthCand1.hap1.1	GCA_973358925.1		Ethmia candidella								Chromosome	2025-10-07	CCWYJL01	43
iyColCypr3.hap2	GCA_977880195.1		Colletes cyprius								Chromosome	2025-12-06	CDWKDY01	32
ilEupPlum1.hap1.1	GCA_977018845.1		Eupithecia plumbeolata								Chromosome	2025-11-07	CDRNXX01	48
ilEuxSegn1.hap1.1	GCA_965276465.1		Euxoa segnilis								Chromosome	2025-05-03	CBDIAO01	169
iyDipSimi1.1	GCF_021155765.1	GCA_021155765.1	Diprion similis					iyDipSimi1	male	NCBI Diprion similis Annotation Release 100	Chromosome	2021-12-10	JAJNQI01	81
ilNocPron1.1	GCA_905220335.1		Noctua pronuba								Chromosome	2021-02-16	CAJMZM01	49
fAidSph1.1	GCA_977009285.1		Aidablennius sphynx								Chromosome	2025-11-08	CDRMXL01	464
ilPamArgy1.hap1.1	GCA_965278205.1		Pammene argyrana								Chromosome	2025-05-08	CBDIEV01	45
ilAltScri1.hap1.1	GCA_977013465.1		Altenia scriptella								Chromosome	2025-11-07	CDRNHK01	99
ilHelCarp3.hap1.1	GCA_980885545.1		Hellinsia carphodactyla								Chromosome	2026-02-28	CENKEC01	232
ilDicAera1.hap1.1	GCA_971874695.1		Dichrorampha aeratana								Chromosome	2025-09-14	CCOMXZ01	110
icAniNove2.1	GCA_964188095.1		Anisosticta novemdecimpunctata								Chromosome	2024-06-21	CAXLNZ01	54
ilDolEleg1.1	GCA_977013115.1		Dolbina elegans								Chromosome	2025-11-07	CDRNGD01	31
ilEuxTeme1.hap1.1	GCA_965283315.1		Euxoa temera								Chromosome	2025-05-18	CBDINQ01	125
ilXanAnno1.hap1.1	GCA_965663695.1		Xanthorhoe annotinata								Chromosome	2025-08-23	CBFIMJ01	91
icSteAust9.1	GCA_976980505.1		Stenosis austini								Chromosome	2025-10-21	CDRJWI01	31
ilPenMori1.hap1.1	GCA_977072185.1		Penthophera morio								Chromosome	2025-12-06	CDRVLQ01	44
ilNemBell1.hap1.1	GCA_976984755.1		Nemophora bellela								Chromosome	2025-10-14	CDRJXT01	42
aEpiCal4.hap2.1	GCA_978041805.1		Epidalea calamita								Chromosome	2026-01-23	CDXHCC01	535
ilAnaFune1.hap1.1	GCA_975300765.1		Anania funebris								Chromosome	2025-10-10	CDHZMU01	77
ilCatFulm1.hap1.1	GCA_978264095.1		Catocala fulminea								Chromosome	2026-03-01	CDYNEL01	199
ilAdaGest1.hap1.1	GCA_977930205.1		Adactylotis gesticularia								Chromosome	2026-01-18	CDWRDE01	48
ilBrySimi1.hap1.1	GCA_976988725.1		Bryotropha similis								Chromosome	2025-11-07	CDRKHS01	72
ilHopOcto1.1	GCA_964261375.1		Hoplodrina octogenaria								Chromosome	2024-09-07	CAXVPK01	33
RoL_Ftig_1.0	GCA_054856515.1		Filicampus tigris					MCC_2025a	male		Chromosome	2026-01-30	JBRFHD01	98
aegilops_longissima_AEG-6782-2_v2	GCA_964264335.1		Aegilops longissima								Chromosome	2024-09-21	CAXVZN01	1245
ilSynPunc1.hap1.1	GCA_965276045.1		Synaphe punctalis								Chromosome	2025-05-02	CBDHYX01	121
fLepPur2.2	GCA_965274325.2		Lepadogaster purpurea								Chromosome	2025-05-18	CBDHXX02	91
ilProSexp2.hap1.1	GCA_965605755.1		Prolita sexpunctella								Chromosome	2025-07-07	CBFDEQ01	95
ilFilInco1.hap1.1	GCA_976988865.1		Filatima incomptella								Chromosome	2025-11-07	CDRKIG01	38
ilGlyHawo1.hap1.1	GCA_974392455.1		Glyphipterix haworthana								Chromosome	2025-10-08	CDCVGQ01	50
ilSphLigu1.hap1.1	GCA_978020635.1		Sphinx ligustri								Chromosome	2026-01-25	CDXDMY01	117
laPotLuce1.hap1.1	GCA_965644075.1		Potamogeton lucens								Chromosome	2025-07-27	CBFFRA01	1143
ASM3024704v1	GCA_030247045.1		Colobus guereza					XZ-2021d	male		Chromosome	2023-06-12	DAKLCV01	2570
RoL_Achi_v1.0	GCA_037954235.2		Aulostomus chinensis	Wild				RoL2024-O1b	male		Chromosome	2024-04-03	JBBMOA01	168
xgRocNilo1.1	GCA_978019575.1		Rochia nilotica								Chromosome	2026-01-29	CDXDJL01	59
ilCarProx1.hap1.1	GCA_976225385.1		Carpatolechia proximella								Chromosome	2025-10-08	CDNGDV01	52
ilGraAugu1.hap1.1	GCA_965637095.1		Graphiphora augur								Chromosome	2025-07-09	CBFESX01	61
C_excelsa_V5	GCA_963556525.1		Cochlearia excelsa								Chromosome	2023-10-17	CAUVZT01	121
ilColSter1.hap1.1	GCA_978020625.1		Coleophora sternipennella								Chromosome	2026-01-25	CDXDNA01	41
ilColPena1.hap1.1	GCA_964258875.1		Colotois pennaria								Chromosome	2024-09-01	CAXVHJ01	42
xbVenVerr6.1	GCA_964200665.2		Venus verrucosa								Chromosome	2024-11-09	CAXNAS02	176
iyNomCres1_principal	GCA_051820275.1		Nomada cressonii					GNS254	female		Chromosome	2025-08-05	JBLIXI01	152
Pchlo_hic	GCA_047302205.1		Parotis chlorochroalis					P2021-455			Chromosome	2025-01-30	JBJXDB01	362
daLinRepe1.hap1.1	GCA_977927345.1		Linaria repens								Chromosome	2026-02-01	CDWRBU01	149
iyBomGris1_principal	GCA_050437465.1		Bombus griseocollis					JDL3198	female		Chromosome	2025-05-19	JBBAXV01	97
ilDicSequ4.hap1.1	GCA_978407275.1		Dichrorampha sequana								Chromosome	2026-03-01	CDZIJZ01	160
ilAriHeli1.hap1.1	GCA_977013395.1		Aristotelia heliacella								Chromosome	2025-11-07	CDRNIB01	95
ilAnaPras2.1	GCA_964194435.1		Anaplectoides prasina								Chromosome	2024-06-28	CAXMMG01	138
RoL_Sarg_1.0	GCF_051989625.1	GCA_051989625.1	Stigmatopora argus					UIUO_Sarg	male	GCF_051989625.1-RS_2025_11	Chromosome	2025-08-13	JBPVNY01	233
ilGnoEpit1.hap1.1	GCA_977012515.1		Gnorimoschema epithymella								Chromosome	2025-11-08	CDRNEX01	115
ilCraPont1.hap1.1	GCA_965277965.1		Craniophora pontica								Chromosome	2025-05-04	CBDIDZ01	60
ASM3965738v1	GCA_039657385.1		Citrus x changshan-huyou					01-14		Annotation submitted by Zhejiang University	Chromosome	2024-05-17	JBCGBO01	26
wtEupGili2.1	GCA_977009705.1		Eupolymnia gili								Chromosome	2025-11-08	CDRMZK01	752
CNAP_Dsew_1.0	GCA_040764665.1		Drepanocaryum sewerzowii					SJS-2024a			Chromosome	2024-07-18	JBCJKZ01	108
V036.hap1_v1.0	GCA_044591225.1		Vitis berlandieri x Vitis riparia x Vitis labrusca			Kangzhen No.5					Chromosome	2024-11-08	JBIHYG01	38
dmLauAzor1.pri	GCA_977007225.1		Laurus azorica								Chromosome	2025-10-14	CDRMVC01	189
ilSteIsla1.hap1.1	GCA_976521965.1		Stenoptilia islandicus								Chromosome	2025-10-26	CDOYCW01	168
ilColObse1.hap1.1	GCA_977014435.1		Coleophora obscenella								Chromosome	2025-11-07	CDRNKL01	43
ilAcrMega1.hap1.1	GCA_978021505.1		Acronicta megacephala								Chromosome	2026-01-25	CDXDPO01	45
ilSitPale2.hap1.1	GCA_980434415.1		Sitochroa palealis								Chromosome	2026-02-20	CEKVJI01	35
ilHerUnim2.hap1.1	GCA_977014445.1		Heringocrania unimaculella								Chromosome	2025-11-07	CDRNKM01	55
ilAprCint1.hap1.1	GCA_976954445.1		Aproaerema cinctella								Chromosome	2025-10-08	CDRJTL01	53
idSteHiru2.hap1.1	GCA_982235815.1		Stenepteryx hirundinis								Chromosome	2026-03-12	CEVAVM01	16
whAilLact1.1	GCA_965183755.1		Ailoscolex lacteospumosus								Chromosome	2025-03-03	CBCYLV01	24
ilAetDeut1.hap1.1	GCA_976225495.1		Aethes deutschiana								Chromosome	2025-10-08	CDNGDX01	55
ilAetSmea3.hap1.1	GCA_965285805.1		Aethes smeathmanniana								Chromosome	2025-06-07	CBDIWB01	34
ilChlClor1.hap1.1	GCA_965788885.1		Chlorissa cloraria								Chromosome	2025-08-23	CBGAZV01	99
daPenSemp1.hap1.1	GCA_964197855.1		Pentaglottis sempervirens								Chromosome	2024-07-08	CAXMXO01	341
ASM4612593v1	GCA_046125935.1		Stylosanthes angustifolia			TF0003					Chromosome	2024-12-17	JBJWSL01	71
ihSteHols2.1	GCA_977066485.1		Stenodema holsatum								Chromosome	2025-11-28	CDRUQZ01	221
ilEpiCruc3.1	GCA_977071775.1		Epinotia cruciana								Chromosome	2025-12-05	CDRVKN01	43
ASM5030649v1	GCA_050306495.1		Hyporhamphus sajori				coastal sea water		male		Chromosome	2025-05-08	JBJUVH01	21
ilArtEvon1.hap1.1	GCA_965278245.1		Artiora evonymaria								Chromosome	2025-05-08	CBDIEU01	60
icMonPunc1.hap1.1	GCA_977066395.1		Mononychus punctumalbum								Chromosome	2025-11-27	CDRUPX01	35
idVolPell3.hap1.1	GCA_965234375.1		Volucella pellucens								Chromosome	2025-04-05	CBDDVH01	275
ASM5582516v1	GCA_055825165.1		Epidendrum fulgens					665_Ubatuba			Chromosome	2026-03-13	JBMMVY01	712
iiTriMino1.hap1.1	GCA_977872445.1		Trichostegia minor								Chromosome	2026-01-19	CDWJGK01	41
ilAnaTeme1.hap1.1	GCA_976929165.1		Anacampsis temerella								Chromosome	2025-10-08	CDRGGE01	58
ilUdeHama1.hap1.1	GCA_966184525.1		Udea hamalis								Chromosome	2025-08-23	CBIFSY01	98
ilAncTine1.hap1.1	GCA_976986415.1		Ancylis tineana								Chromosome	2025-10-14	CDRKBM01	46
Ssia_1.0	GCA_031216115.1		Senna siamea					GSW-2023e			Chromosome	2023-09-08	JAVHNK01	220
ilBryPurp1.hap1.1	GCA_977066475.1		Bryotropha purpurella								Chromosome	2025-11-28	CDRUQU01	105
ilNidStri1.hap1.1	GCA_977013565.1		Niditinea striolella								Chromosome	2025-11-07	CDRNHI01	38
ilBacFurf1.hap1.1	GCA_965663525.1		Bactra furfurana								Chromosome	2025-08-23	CBFILT01	155
ihAceHeyd1.hap1.1	GCA_979321995.1		Acericerus heydenii								Chromosome	2026-02-27	CEENIZ01	64
ilCatPerm1.hap1.1	GCA_971856475.1		Catoptria permutatellus								Chromosome	2025-09-13	CCOKDS01	124
ASM4089407v1	GCA_040894075.1		Rhodiola chrysanthemifolia					R_Ch			Chromosome	2024-07-30	JBFCWI01	564
xbGlyGlyc1.1	GCA_978048415.1		Glycymeris glycymeris								Chromosome	2026-03-01	CDXHKR01	284
ASM5582466v1	GCA_055824665.1		Bothrops insularis					SB1851	male		Chromosome	2026-03-13	JBLSAJ01	110
icTarCana1.1	GCA_964277315.1		Tarphius canariensis								Chromosome	2024-10-28	CAXYHY01	12
ilAcoLuci2.hap2.1	GCA_965285785.1		Acontia lucida								Chromosome	2025-06-07	CBDIWC01	74
iyEndDetr3.1	GCA_976954455.1		Endromopoda detrita								Chromosome	2025-10-08	CDRJTN01	21
ilHipCypr1.1.pri	GCA_978046935.1		Hipparchia cypriensis								Chromosome	2026-02-14	CDXHIS01	54
ilCloChar1.hap1.1	GCA_977013735.1		Boloria chariclea								Chromosome	2025-11-07	CDRNJR01	56
ilArgAqui1.hap1.1	GCA_977063525.1		Argyroploce aquilonana								Chromosome	2025-11-20	CDRUHM01	158
V125.hap1_v1.0	GCA_044588375.1		Vitis pseudoreticulata x Vitis vinifera			Huajia 8					Chromosome	2024-11-08	JBIHUQ01	67
ilTriDubi1.hap2.1	GCA_965247765.1		Triphosa dubitata								Chromosome	2025-04-18	CBDFKH01	87
ASM5008407v1	GCA_050084075.1		Hedwigia ciliata					BG14849			Chromosome	2025-05-01	JBNGLQ01	29
V018.hap2_v1.0	GCA_044592055.1		Vitis mustangensis x V. labrusca x V. rupestris x V. riparia x V. vinifera			Harmony					Chromosome	2024-11-08	JBIHZD01	96
ilSchGiga1.1	GCA_963935595.1		Schoenobius gigantellus								Chromosome	2024-02-08	CAWWDF01	36
ilPlaCeru1.hap1.1	GCA_977071805.1		Platytes cerussella								Chromosome	2025-12-05	CDRVKJ01	91
iyAgrAbbr1.hap1.1	GCA_978258655.1		Agrothereutes abbreviatus								Chromosome	2026-02-14	CDYMLS01	41
fPomMin1.1	GCA_965276375.1		Pomatoschistus minutus								Chromosome	2025-05-02	CBDIAC01	105
ilTraAtri1.hap1.1	GCA_977066605.1		Trachea atriplicis								Chromosome	2025-11-28	CDRUQN01	121
ilDicAgil1.hap1.1	GCA_976225225.1		Dichrorampha agilana								Chromosome	2025-10-26	CDNGEJ01	184
ilErePand1.hap1.1	GCA_977810695.1		Erebia pandrose								Chromosome	2026-01-20	CDWAHZ01	63
ilEupFenn1.hap2.1	GCA_976919215.1		Eupithecia fennoscandica								Chromosome	2025-10-05	CDREUD01	55
ilAgnJose1.hap1.1	GCA_977927375.1		Agnoea josephinae								Chromosome	2026-02-01	CDWRCD01	119
ilGlyFors3.1	GCA_977013705.1		Glyphipterix forsterella								Chromosome	2025-11-07	CDRNJZ01	94
ilEumAren4_hap1.1	GCA_978753355.1		Eumannia arenbergeri								Chromosome	2026-02-27	CEFLKC01	130
ilCatFura1.hap1.1	GCA_966095715.1		Catoptria furcatella								Chromosome	2025-08-23	CBHTUZ01	61
ilHipMade1_hap2	GCA_976063885.1		Hipparchia maderensis								Chromosome	2025-10-04	CDMIHE01	59
icMorOrie1.1	GCA_976714775.1		Morimus orientalis								Chromosome	2025-10-10	CDQAQM01	112
HipSbo_unMask_final.fa	GCA_038048805.1		Hipparchia sbordonii					ind_10	male		Chromosome	2024-04-17	JBBIWI01	36
ilEphUnic1.hap1.1	GCA_977020505.1		Ephestia unicolorella								Chromosome	2025-11-10	CDRODH01	87
ilNotCyno1.hap1.1	GCA_965637175.1		Notocelia cynosbatella								Chromosome	2025-07-09	CBFETN01	67
daTraPorr1.hap1.1	GCA_977969915.1		Tragopogon porrifolius								Chromosome	2026-02-01	CDXADG01	1125
ilDicFasc1.hap1.1	GCA_976984565.1		Dicallomera fascelina								Chromosome	2025-10-14	CDRJXI01	42
ilHipStat1.hap1.1	GCA_971852105.1		Hipparchia statilinus								Chromosome	2025-09-13	CCOJMS01	43
ilDicLati1.hap1.1	GCA_976227265.1		Dichomeris latipennella								Chromosome	2025-10-26	CDNGLQ01	214
wpEutOcul1.1	GCA_965113345.1		Euthalenessa oculata								Chromosome	2025-01-24	CBCOUO01	284
ASM2005564v1	GCA_020055645.1		Tomocerus qinae					NJ	pooled male and female		Chromosome	2021-09-21	JAECZT01	115
ilBupPini2.hap1.1	GCA_977969895.1		Bupalus piniaria								Chromosome	2026-01-26	CDWWSI01	90
ilScoOrna1.hap1.1	GCA_977930455.1		Scopula ornata								Chromosome	2026-02-01	CDWREA01	282
ilPluHype1.hap1.1	GCA_966184305.1		Plutella hyperboreella								Chromosome	2025-08-23	CBIFQQ01	163
ilColAlti2.1	GCA_977013745.1		Coleophora alticolella								Chromosome	2025-11-07	CDRNJP01	36
ilBucCida1.hap1.1	GCA_977014655.1		Bucculatrix cidarella								Chromosome	2025-11-07	CDRNKZ01	47
ilZetInsu1.hap2.1	GCA_965239655.1		Zethes insularis								Chromosome	2025-04-12	CBDEHZ01	200
ilDypScab1.hap1.1	GCA_981950845.1		Dypterygia scabriuscula								Chromosome	2026-03-08	CETLIT01	37
mRhyPet1.hap2	GCA_043290065.1		Rhynchocyon petersi					mRhyPet1	male		Chromosome	2024-10-17	JBHNZO01	314
ilAngMala3.hap1.1	GCA_964639005.1		Angustalius malacellus								Chromosome	2025-01-02	CAZXDG01	40
Am_MascCH02_pri1.0	GCA_052575835.1		Aedes mascarensis					MascCH02	female		Chromosome	2025-09-12	JBNQXA01	74
ilEpiNana1.hap1.1	GCA_966183675.1		Epinotia nanana								Chromosome	2025-08-23	CBIFQO01	51
ilMonLuci1.hap1.1	GCA_971872585.1		Monochroa lucidella								Chromosome	2025-09-14	CCOMNT01	355
iyNeoFabr1.1	GCF_021155785.1	GCA_021155785.1	Neodiprion fabricii					iyNeoFabr1	male	NCBI Neodiprion fabricii Annotation Release 100	Chromosome	2021-12-10	JAJNQJ01	72
ilEriQuad1.hap1.1	GCA_976986865.1		Eriopsela quadrana								Chromosome	2025-11-07	CDRKCL01	67
ilNeoInfe1.hap1.1	GCA_971874335.1		Neofaculta infernella								Chromosome	2025-09-14	CCOMTZ01	51
ASM4930948v1	GCA_049309485.1		Rumex bucephalophorus					JLR.19TA14.1			Chromosome	2025-04-05	JBLYWF01	2408
ilBucDema1.hap1.1	GCA_976919285.1		Bucculatrix demaryella								Chromosome	2025-10-09	CDREUO01	52
